,company,station,pollutant,year,month,emission,availability
71,Govindam Projects Pvt Ltd,CEMS-1,PM,2016,1,9739,0.21816756272401433
72,Grewal Associates Pvt. Ltd.,CEMS-1,PM,2016,1,16901,0.37860663082437274
73,Grewal Associates Pvt. Ltd.,CEMS-2,PM,2016,1,17032,0.38154121863799284
74,"HINDALCO Ltd., FRP Plant",CEMS-1,PM,2016,1,8197,0.18362455197132616
75,"HINDALCO Ltd., FRP Plant",CEMS-2,PM,2016,1,8544,0.1913978494623656
76,"HINDALCO Ltd., FRP Plant",CEMS-3,PM,2016,1,3881,0.08693996415770609
77,"HINDALCO Ltd.,Captive Power Plant",st1,PM,2016,1,6,0.00013440860215053763
78,"HINDALCO Ltd.,Captive Power Plant",st2,PM,2016,1,1614,0.03615591397849462
79,"HINDALCO Ltd.,Captive Power Plant",st3,PM,2016,1,1611,0.03608870967741935
80,"HINDALCO Ltd.,Captive Power Plant",st4,PM,2016,1,10213,0.2287858422939068
81,"HINDALCO Ltd.,Captive Power Plant",st5,PM,2016,1,10106,0.2263888888888889
82,"HINDALCO Ltd.,Smelter Plant",FTP4,PM,2016,1,4218,0.09448924731182795
83,"HINDALCO Ltd.,Smelter Plant",st1,PM,2016,1,9653,0.21624103942652328
84,"HINDALCO Ltd.,Smelter Plant",st2,PM,2016,1,9627,0.21565860215053764
85,"HINDALCO Ltd.,Smelter Plant",st3,PM,2016,1,7029,0.15745967741935485
86,"HINDALCO Ltd.,Smelter Plant",st4,PM,2016,1,10443,0.23393817204301076
87,Indian Metal and Ferro Alloys Ltd,boiler-2,PM,2016,1,3264,0.07311827956989247
88,Indian Metal and Ferro Alloys Ltd,boiler-3,PM,2016,1,3857,0.08640232974910395
89,Indian Metal and Ferro Alloys Ltd,boiler-5,PM,2016,1,1390,0.031137992831541218
90,Indian Metal and Ferro Alloys Ltd,boiler-6,PM,2016,1,26286,0.5888440860215054
91,Indian Metal and Ferro Alloys Ltd (120 MW Power Plant),120MW Unit-1,PM,2016,1,20144,0.45125448028673837
92,Indian Metal and Ferro Alloys Ltd (120 MW Power Plant),120MW Unit-2,PM,2016,1,26535,0.5944220430107527
93,Indian Metal and Ferro Alloys Ltd (Charge Chrome Plant),CEMS-3,PM,2016,1,25467,0.570497311827957
94,JK Paper LTD,CEMS-1,PM,2016,1,22491,0.5038306451612903
95,JK Paper LTD,CEMS-2,PM,2016,1,16594,0.3717293906810036
96,Jai Balaji Jyoti Steels Limited,CEMS-1,PM,2016,1,1840,0.04121863799283154
97,Jai Hanuman Udyog Ltd.,CEMS-1,PM,2016,1,8883,0.19899193548387098
98,Jay Jagannath Steel and Power Limited,CEMS-1,PM,2016,1,2970,0.06653225806451613
99,Jay Jagannath Steel and Power Limited,CEMS-2,PM,2016,1,4224,0.09462365591397849
100,Jindal India Thermal Power Ltd,CEMS-1,PM,2016,1,24331,0.5450492831541218
101,Jindal India Thermal Power Ltd,CEMS-2,PM,2016,1,24955,0.5590277777777778
102,Jindal Stainless Ltd,CEMS-3,PM,2016,1,16427,0.36798835125448026
103,Jindal Stainless Ltd,CEMS-4,PM,2016,1,30562,0.6846326164874552
104,Jindal Stainless Ltd,CEMS-5,PM,2016,1,31641,0.7088037634408603
105,Jindal Stainless Ltd,CPP,PM,2016,1,32725,0.733086917562724
106,Jindal Stainless Ltd,SMS,PM,2016,1,3624,0.08118279569892473
107,Jindal Steel and Power Limited,Boiler-1,PM,2016,1,2498,0.055958781362007166
108,Jindal Steel and Power Limited,Boiler-2,PM,2016,1,2543,0.0569668458781362
109,Jindal Steel and Power Limited,CEMS-10,PM,2016,1,26108,0.5848566308243728
110,Jindal Steel and Power Limited,CEMS-11,PM,2016,1,26101,0.5846998207885304
111,Jindal Steel and Power Limited,CEMS-12,PM,2016,1,22493,0.5038754480286738
112,Jindal Steel and Power Limited,CEMS-13,PM,2016,1,26056,0.5836917562724014
113,Jindal Steel and Power Limited,CEMS-14,PM,2016,1,19225,0.43066756272401435
